,0,1,face
394,20696.jpg,JM,"{'box': [639, 633, 759, 1118], 'confidence': 0.9999967813491821, 'keypoints': {'nose': (1337, 1386), 'right_eye': (1348, 1213), 'mouth_left': (1044, 1505), 'left_eye': (1151, 1110), 'mouth_right': (1180, 1570)}}"
395,20701.jpg,JM,"{'box': [698, 430, 357, 516], 'confidence': 0.9999985694885254, 'keypoints': {'nose': (1012, 788), 'right_eye': (1015, 686), 'mouth_left': (867, 828), 'left_eye': (931, 644), 'mouth_right': (928, 859)}}"
396,20703.jpg,JM,"{'box': [690, 456, 830, 1125], 'confidence': 0.9999608993530273, 'keypoints': {'nose': (919, 1134), 'right_eye': (1183, 901), 'mouth_left': (868, 1338), 'left_eye': (834, 916), 'mouth_right': (1168, 1341)}}"
397,20994.jpg,JM,"{'box': [1016, 527, 594, 768], 'confidence': 0.9996685981750488, 'keypoints': {'nose': (1402, 966), 'right_eye': (1509, 832), 'mouth_left': (1258, 1115), 'left_eye': (1244, 818), 'mouth_right': (1448, 1127)}}"
399,21454.jpg,JM,"{'box': [1108, 125, 587, 783], 'confidence': 0.9999693632125854, 'keypoints': {'nose': (1567, 600), 'right_eye': (1630, 497), 'mouth_left': (1367, 699), 'left_eye': (1428, 398), 'mouth_right': (1519, 764)}}"
400,21467.jpg,JM,"{'box': [679, 671, 679, 844], 'confidence': 0.9997997879981995, 'keypoints': {'nose': (981, 1176), 'right_eye': (1162, 965), 'mouth_left': (871, 1316), 'left_eye': (836, 959), 'mouth_right': (1133, 1325)}}"
404,21488.jpg,JM,"{'box': [527, 802, 1065, 1358], 'confidence': 0.9999994039535522, 'keypoints': {'nose': (1181, 1573), 'right_eye': (1386, 1288), 'mouth_left': (922, 1839), 'left_eye': (882, 1277), 'mouth_right': (1312, 1854)}}"
406,21785.jpg,JM,"{'box': [847, 182, 287, 380], 'confidence': 0.9997166991233826, 'keypoints': {'nose': (870, 405), 'right_eye': (973, 320), 'mouth_left': (866, 496), 'left_eye': (853, 347), 'mouth_right': (965, 480)}}"
407,21790.jpg,JM,"{'box': [769, 311, 604, 838], 'confidence': 0.9999977350234985, 'keypoints': {'nose': (812, 795), 'right_eye': (1012, 603), 'mouth_left': (864, 948), 'left_eye': (846, 608), 'mouth_right': (978, 941)}}"
411,21815.jpg,JM,"{'box': [794, 482, 819, 1031], 'confidence': 0.9999364614486694, 'keypoints': {'nose': (1063, 1068), 'right_eye': (1331, 873), 'mouth_left': (929, 1256), 'left_eye': (951, 840), 'mouth_right': (1243, 1271)}}"
412,21816.jpg,JM,"{'box': [939, 261, 344, 504], 'confidence': 0.9996764659881592, 'keypoints': {'nose': (1053, 558), 'right_eye': (1166, 448), 'mouth_left': (1019, 642), 'left_eye': (1009, 438), 'mouth_right': (1156, 644)}}"
413,21817.jpg,JM,"{'box': [1384, 2791, 52, 63], 'confidence': 0.7004649043083191, 'keypoints': {'nose': (1421, 2822), 'right_eye': (1427, 2812), 'mouth_left': (1408, 2836), 'left_eye': (1406, 2810), 'mouth_right': (1426, 2838)}}"
414,21828.jpg,JM,"{'box': [575, 430, 319, 422], 'confidence': 0.9998233914375305, 'keypoints': {'nose': (649, 656), 'right_eye': (754, 576), 'mouth_left': (636, 740), 'left_eye': (651, 572), 'mouth_right': (720, 746)}}"
415,21829.jpg,JM,"{'box': [860, 296, 498, 593], 'confidence': 0.9999983310699463, 'keypoints': {'nose': (1020, 627), 'right_eye': (1155, 504), 'mouth_left': (978, 757), 'left_eye': (954, 512), 'mouth_right': (1128, 748)}}"
416,21830.jpg,JM,"{'box': [1184, 187, 245, 320], 'confidence': 0.9988946318626404, 'keypoints': {'nose': (1220, 372), 'right_eye': (1301, 302), 'mouth_left': (1217, 446), 'left_eye': (1213, 311), 'mouth_right': (1283, 442)}}"
417,22157.jpg,JM,"{'box': [848, 100, 296, 379], 'confidence': 0.9891875386238098, 'keypoints': {'nose': (957, 288), 'right_eye': (1043, 239), 'mouth_left': (907, 381), 'left_eye': (906, 241), 'mouth_right': (1017, 385)}}"
421,22186.jpg,JM,"{'box': [966, 297, 622, 800], 'confidence': 0.9999939203262329, 'keypoints': {'nose': (1132, 765), 'right_eye': (1325, 616), 'mouth_left': (1076, 918), 'left_eye': (1069, 610), 'mouth_right': (1281, 916)}}"
422,22189.jpg,JM,"{'box': [600, 512, 957, 1217], 'confidence': 0.9999866485595703, 'keypoints': {'nose': (857, 1224), 'right_eye': (1121, 966), 'mouth_left': (821, 1498), 'left_eye': (758, 1046), 'mouth_right': (1125, 1443)}}"
423,22190.jpg,JM,"{'box': [727, 329, 594, 767], 'confidence': 0.9997687935829163, 'keypoints': {'nose': (915, 772), 'right_eye': (1093, 628), 'mouth_left': (825, 884), 'left_eye': (835, 609), 'mouth_right': (1071, 904)}}"
424,22191.jpg,JM,"{'box': [336, 602, 919, 1186], 'confidence': 0.9999500513076782, 'keypoints': {'nose': (619, 1316), 'right_eye': (851, 1037), 'mouth_left': (579, 1557), 'left_eye': (493, 1101), 'mouth_right': (818, 1521)}}"
425,22192.jpg,JM,"{'box': [740, 236, 432, 563], 'confidence': 0.9999996423721313, 'keypoints': {'nose': (824, 565), 'right_eye': (963, 442), 'mouth_left': (818, 690), 'left_eye': (792, 473), 'mouth_right': (951, 667)}}"
426,30839.jpg,JM,"{'box': [644, 507, 798, 964], 'confidence': 0.9999399185180664, 'keypoints': {'nose': (936, 1093), 'right_eye': (1121, 837), 'mouth_left': (874, 1264), 'left_eye': (789, 875), 'mouth_right': (1144, 1230)}}"
427,30862.jpg,JM,"{'box': [1122, 218, 334, 430], 'confidence': 0.9999997615814209, 'keypoints': {'nose': (1165, 459), 'right_eye': (1285, 375), 'mouth_left': (1162, 559), 'left_eye': (1169, 370), 'mouth_right': (1245, 560)}}"
428,30864.jpg,JM,"{'box': [516, 651, 450, 590], 'confidence': 0.9999591112136841, 'keypoints': {'nose': (861, 1020), 'right_eye': (917, 929), 'mouth_left': (720, 1098), 'left_eye': (761, 877), 'mouth_right': (841, 1138)}}"
429,30865.jpg,JM,"{'box': [861, 712, 885, 1011], 'confidence': 0.9999184608459473, 'keypoints': {'nose': (1227, 1324), 'right_eye': (1391, 1050), 'mouth_left': (1162, 1514), 'left_eye': (1054, 1175), 'mouth_right': (1505, 1381)}}"
430,30866.jpg,JM,"{'box': [684, 324, 370, 456], 'confidence': 0.9999974966049194, 'keypoints': {'nose': (721, 585), 'right_eye': (848, 482), 'mouth_left': (737, 680), 'left_eye': (722, 487), 'mouth_right': (836, 677)}}"
431,30867.jpg,JM,"{'box': [766, 163, 669, 889], 'confidence': 0.9999481439590454, 'keypoints': {'nose': (881, 691), 'right_eye': (1107, 474), 'mouth_left': (890, 837), 'left_eye': (856, 496), 'mouth_right': (1114, 831)}}"
432,30868.jpg,JM,"{'box': [984, 452, 612, 748], 'confidence': 0.9934040904045105, 'keypoints': {'nose': (1304, 913), 'right_eye': (1422, 698), 'mouth_left': (1205, 1038), 'left_eye': (1141, 749), 'mouth_right': (1445, 994)}}"
433,30869.jpg,JM,"{'box': [937, 836, 861, 1131], 'confidence': 0.9959045052528381, 'keypoints': {'nose': (1424, 1487), 'right_eye': (1557, 1179), 'mouth_left': (1292, 1700), 'left_eye': (1168, 1247), 'mouth_right': (1596, 1646)}}"
434,30870.jpg,JM,"{'box': [1087, 425, 539, 664], 'confidence': 0.9999798536300659, 'keypoints': {'nose': (1286, 803), 'right_eye': (1419, 639), 'mouth_left': (1250, 935), 'left_eye': (1188, 670), 'mouth_right': (1417, 916)}}"
435,30875.jpg,JM,"{'box': [930, 382, 479, 612], 'confidence': 0.9839799404144287, 'keypoints': {'nose': (1036, 745), 'right_eye': (1169, 598), 'mouth_left': (1033, 854), 'left_eye': (985, 617), 'mouth_right': (1203, 840)}}"
436,35693.jpg,JM,"{'box': [558, 581, 1117, 1441], 'confidence': 0.9735071659088135, 'keypoints': {'nose': (1081, 1242), 'right_eye': (1232, 956), 'mouth_left': (1059, 1674), 'left_eye': (761, 1192), 'mouth_right': (1447, 1479)}}"
437,35694.jpg,JM,"{'box': [1022, 115, 534, 723], 'confidence': 0.9999376535415649, 'keypoints': {'nose': (1314, 528), 'right_eye': (1444, 415), 'mouth_left': (1182, 655), 'left_eye': (1197, 368), 'mouth_right': (1365, 686)}}"
439,35696.jpg,JM,"{'box': [673, 114, 652, 835], 'confidence': 0.9999849796295166, 'keypoints': {'nose': (893, 608), 'right_eye': (1082, 439), 'mouth_left': (816, 758), 'left_eye': (789, 441), 'mouth_right': (1061, 763)}}"
441,35698.jpg,JM,"{'box': [672, 253, 359, 472], 'confidence': 0.9797621369361877, 'keypoints': {'nose': (886, 489), 'right_eye': (911, 380), 'mouth_left': (859, 617), 'left_eye': (771, 450), 'mouth_right': (959, 563)}}"
445,35725.jpg,JM,"{'box': [409, 34, 758, 876], 'confidence': 0.9944098591804504, 'keypoints': {'nose': (755, 690), 'right_eye': (843, 376), 'mouth_left': (783, 818), 'left_eye': (583, 537), 'mouth_right': (1007, 689)}}"
446,35726.jpg,JM,"{'box': [512, 487, 720, 898], 'confidence': 0.9879860281944275, 'keypoints': {'nose': (782, 1019), 'right_eye': (928, 812), 'mouth_left': (792, 1238), 'left_eye': (654, 944), 'mouth_right': (1008, 1141)}}"
448,35728.jpg,JM,"{'box': [528, 4, 908, 1126], 'confidence': 0.9850490689277649, 'keypoints': {'nose': (1000, 684), 'right_eye': (1224, 449), 'mouth_left': (832, 880), 'left_eye': (817, 415), 'mouth_right': (1110, 919)}}"
450,35730.jpg,JM,"{'box': [979, 42, 755, 1095], 'confidence': 0.9999916553497314, 'keypoints': {'nose': (1616, 724), 'right_eye': (1675, 503), 'mouth_left': (1361, 871), 'left_eye': (1412, 448), 'mouth_right': (1571, 911)}}"
451,35731.jpg,JM,"{'box': [276, 152, 821, 872], 'confidence': 0.9991937279701233, 'keypoints': {'nose': (701, 645), 'right_eye': (748, 408), 'mouth_left': (769, 898), 'left_eye': (499, 646), 'mouth_right': (925, 730)}}"
453,35734.jpg,JM,"{'box': [532, 756, 915, 1106], 'confidence': 0.996533989906311, 'keypoints': {'nose': (993, 1343), 'right_eye': (1198, 1180), 'mouth_left': (828, 1601), 'left_eye': (802, 1167), 'mouth_right': (1145, 1614)}}"
454,36420.jpg,JM,"{'box': [748, 24, 722, 1023], 'confidence': 0.9999847412109375, 'keypoints': {'nose': (841, 645), 'right_eye': (1064, 391), 'mouth_left': (899, 844), 'left_eye': (840, 444), 'mouth_right': (1067, 814)}}"
455,36423.jpg,JM,"{'box': [361, 275, 495, 705], 'confidence': 0.9997177720069885, 'keypoints': {'nose': (725, 688), 'right_eye': (777, 541), 'mouth_left': (603, 815), 'left_eye': (580, 553), 'mouth_right': (753, 802)}}"
456,36425.jpg,JM,"{'box': [863, 263, 386, 523], 'confidence': 0.9999853372573853, 'keypoints': {'nose': (1110, 554), 'right_eye': (1175, 472), 'mouth_left': (1021, 661), 'left_eye': (1006, 462), 'mouth_right': (1149, 668)}}"
458,36460.jpg,JM,"{'box': [781, 224, 717, 815], 'confidence': 0.9990463852882385, 'keypoints': {'nose': (1028, 829), 'right_eye': (1114, 549), 'mouth_left': (1143, 971), 'left_eye': (945, 704), 'mouth_right': (1277, 851)}}"
459,36466.jpg,JM,"{'box': [566, 716, 705, 933], 'confidence': 0.9989896416664124, 'keypoints': {'nose': (889, 1303), 'right_eye': (1081, 1110), 'mouth_left': (734, 1388), 'left_eye': (751, 1072), 'mouth_right': (1040, 1428)}}"
460,36470.jpg,JM,"{'box': [654, 812, 625, 833], 'confidence': 0.999954342842102, 'keypoints': {'nose': (756, 1246), 'right_eye': (1000, 1126), 'mouth_left': (709, 1469), 'left_eye': (737, 1151), 'mouth_right': (901, 1456)}}"
462,38629.jpg,JM,"{'box': [1234, 354, 245, 322], 'confidence': 0.9982501864433289, 'keypoints': {'nose': (1391, 557), 'right_eye': (1429, 487), 'mouth_left': (1330, 607), 'left_eye': (1326, 490), 'mouth_right': (1418, 602)}}"
466,42228.jpg,JM,"{'box': [754, 741, 270, 277], 'confidence': 0.8518359661102295, 'keypoints': {'nose': (879, 909), 'right_eye': (932, 842), 'mouth_left': (863, 947), 'left_eye': (845, 850), 'mouth_right': (936, 939)}}"
467,42229.jpg,JM,"{'box': [827, 47, 755, 1067], 'confidence': 0.9999837875366211, 'keypoints': {'nose': (1475, 723), 'right_eye': (1497, 497), 'mouth_left': (1242, 882), 'left_eye': (1254, 508), 'mouth_right': (1435, 866)}}"
468,42240.jpg,JM,"{'box': [735, 812, 577, 778], 'confidence': 0.961076557636261, 'keypoints': {'nose': (936, 1246), 'right_eye': (1129, 1084), 'mouth_left': (880, 1422), 'left_eye': (873, 1086), 'mouth_right': (1047, 1422)}}"
469,42247.jpg,JM,"{'box': [909, 403, 410, 574], 'confidence': 0.9999990463256836, 'keypoints': {'nose': (942, 735), 'right_eye': (1085, 622), 'mouth_left': (959, 855), 'left_eye': (943, 633), 'mouth_right': (1064, 847)}}"
470,42249.jpg,JM,"{'box': [575, 593, 404, 527], 'confidence': 0.9996566772460938, 'keypoints': {'nose': (904, 950), 'right_eye': (948, 827), 'mouth_left': (781, 1033), 'left_eye': (794, 837), 'mouth_right': (886, 1018)}}"
472,44574.jpg,JM,"{'box': [844, 262, 362, 459], 'confidence': 0.9256750345230103, 'keypoints': {'nose': (908, 512), 'right_eye': (999, 386), 'mouth_left': (964, 630), 'left_eye': (896, 468), 'mouth_right': (1044, 565)}}"
475,44577.jpg,JM,"{'box': [484, 418, 796, 777], 'confidence': 0.9257648587226868, 'keypoints': {'nose': (836, 713), 'right_eye': (859, 588), 'mouth_left': (945, 953), 'left_eye': (704, 792), 'mouth_right': (1050, 790)}}"
477,44596.jpg,JM,"{'box': [377, 223, 319, 402], 'confidence': 0.994474470615387, 'keypoints': {'nose': (422, 441), 'right_eye': (527, 337), 'mouth_left': (436, 550), 'left_eye': (408, 387), 'mouth_right': (532, 513)}}"
479,44611.jpg,JM,"{'box': [992, 712, 525, 619], 'confidence': 0.9998173117637634, 'keypoints': {'nose': (1157, 1074), 'right_eye': (1303, 913), 'mouth_left': (1141, 1210), 'left_eye': (1071, 947), 'mouth_right': (1308, 1185)}}"
480,44617.jpg,JM,"{'box': [744, 188, 277, 347], 'confidence': 0.9999768733978271, 'keypoints': {'nose': (793, 367), 'right_eye': (889, 293), 'mouth_left': (791, 456), 'left_eye': (778, 318), 'mouth_right': (880, 438)}}"
481,44708.jpg,JM,"{'box': [1086, 1099, 502, 597], 'confidence': 0.9999570846557617, 'keypoints': {'nose': (1198, 1471), 'right_eye': (1318, 1291), 'mouth_left': (1235, 1603), 'left_eye': (1148, 1368), 'mouth_right': (1366, 1542)}}"
482,44709.jpg,JM,"{'box': [1054, 335, 363, 461], 'confidence': 0.99992835521698, 'keypoints': {'nose': (1154, 584), 'right_eye': (1279, 501), 'mouth_left': (1124, 696), 'left_eye': (1118, 510), 'mouth_right': (1239, 692)}}"
483,44710.jpg,JM,"{'box': [527, 186, 479, 607], 'confidence': 0.9995481371879578, 'keypoints': {'nose': (757, 493), 'right_eye': (879, 408), 'mouth_left': (668, 629), 'left_eye': (666, 406), 'mouth_right': (852, 640)}}"
484,44722.jpg,JM,"{'box': [1199, 95, 496, 672], 'confidence': 0.9998576641082764, 'keypoints': {'nose': (1310, 460), 'right_eye': (1524, 363), 'mouth_left': (1246, 598), 'left_eye': (1317, 327), 'mouth_right': (1401, 628)}}"
485,44725.jpg,JM,"{'box': [922, 424, 451, 553], 'confidence': 0.9998998641967773, 'keypoints': {'nose': (1009, 749), 'right_eye': (1134, 584), 'mouth_left': (1036, 861), 'left_eye': (974, 638), 'mouth_right': (1162, 820)}}"
486,44726.jpg,JM,"{'box': [256, 498, 1283, 1502], 'confidence': 0.9999781847000122, 'keypoints': {'nose': (610, 1444), 'right_eye': (919, 1003), 'mouth_left': (635, 1752), 'left_eye': (455, 1141), 'mouth_right': (986, 1654)}}"
487,44727.jpg,JM,"{'box': [438, -30, 841, 993], 'confidence': 0.9998169541358948, 'keypoints': {'nose': (672, 569), 'right_eye': (868, 281), 'mouth_left': (715, 788), 'left_eye': (566, 411), 'mouth_right': (947, 691)}}"
488,44731.jpg,JM,"{'box': [275, 35, 793, 1057], 'confidence': 0.9996194839477539, 'keypoints': {'nose': (373, 639), 'right_eye': (689, 432), 'mouth_left': (367, 866), 'left_eye': (404, 412), 'mouth_right': (572, 871)}}"
489,45004.jpg,JM,"{'box': [923, 145, 424, 568], 'confidence': 0.9854615926742554, 'keypoints': {'nose': (1180, 392), 'right_eye': (1215, 366), 'mouth_left': (1148, 479), 'left_eye': (1157, 348), 'mouth_right': (1179, 497)}}"
490,45009.jpg,JM,"{'box': [710, 283, 440, 550], 'confidence': 0.9999735355377197, 'keypoints': {'nose': (858, 585), 'right_eye': (964, 467), 'mouth_left': (835, 709), 'left_eye': (790, 498), 'mouth_right': (968, 685)}}"
492,45044.jpg,JM,"{'box': [1048, 59, 630, 863], 'confidence': 0.9999213218688965, 'keypoints': {'nose': (1567, 483), 'right_eye': (1523, 348), 'mouth_left': (1509, 712), 'left_eye': (1373, 397), 'mouth_right': (1596, 675)}}"
493,45046.jpg,JM,"{'box': [941, 121, 556, 765], 'confidence': 0.9997304081916809, 'keypoints': {'nose': (1243, 584), 'right_eye': (1367, 450), 'mouth_left': (1124, 705), 'left_eye': (1119, 422), 'mouth_right': (1309, 725)}}"
494,45049.jpg,JM,"{'box': [1283, 182, 404, 600], 'confidence': 0.9999996423721313, 'keypoints': {'nose': (1676, 504), 'right_eye': (1646, 408), 'mouth_left': (1572, 626), 'left_eye': (1541, 391), 'mouth_right': (1647, 637)}}"
495,45058.jpg,JM,"{'box': [694, 235, 338, 486], 'confidence': 0.9999986886978149, 'keypoints': {'nose': (1015, 473), 'right_eye': (985, 414), 'mouth_left': (937, 581), 'left_eye': (906, 394), 'mouth_right': (996, 596)}}"
496,45065.jpg,JM,"{'box': [845, 410, 406, 492], 'confidence': 0.9999574422836304, 'keypoints': {'nose': (938, 724), 'right_eye': (1051, 573), 'mouth_left': (948, 800), 'left_eye': (900, 582), 'mouth_right': (1071, 789)}}"
497,45067.jpg,JM,"{'box': [647, 596, 622, 764], 'confidence': 0.9970171451568604, 'keypoints': {'nose': (785, 888), 'right_eye': (1022, 876), 'mouth_left': (717, 1105), 'left_eye': (855, 815), 'mouth_right': (852, 1144)}}"
502,45964.jpg,JM,"{'box': [932, 266, 416, 519], 'confidence': 0.9999719858169556, 'keypoints': {'nose': (951, 499), 'right_eye': (1121, 453), 'mouth_left': (942, 633), 'left_eye': (1010, 443), 'mouth_right': (1031, 643)}}"
503,45965.jpg,JM,"{'box': [771, 526, 676, 816], 'confidence': 0.9999802112579346, 'keypoints': {'nose': (927, 989), 'right_eye': (1107, 754), 'mouth_left': (947, 1163), 'left_eye': (858, 835), 'mouth_right': (1138, 1107)}}"
504,45966.jpg,JM,"{'box': [447, 303, 523, 615], 'confidence': 0.9995841383934021, 'keypoints': {'nose': (537, 683), 'right_eye': (693, 500), 'mouth_left': (581, 807), 'left_eye': (521, 541), 'mouth_right': (702, 781)}}"
505,45967.jpg,JM,"{'box': [832, 741, 455, 544], 'confidence': 0.9999105930328369, 'keypoints': {'nose': (911, 1061), 'right_eye': (1060, 927), 'mouth_left': (909, 1155), 'left_eye': (890, 908), 'mouth_right': (1039, 1168)}}"
506,45968.jpg,JM,"{'box': [213, 187, 571, 744], 'confidence': 0.9999841451644897, 'keypoints': {'nose': (276, 576), 'right_eye': (486, 403), 'mouth_left': (315, 734), 'left_eye': (308, 410), 'mouth_right': (466, 705)}}"
507,45969.jpg,JM,"{'box': [487, 256, 340, 365], 'confidence': 0.9991156458854675, 'keypoints': {'nose': (645, 455), 'right_eye': (698, 341), 'mouth_left': (647, 547), 'left_eye': (569, 412), 'mouth_right': (751, 492)}}"
508,45970.jpg,JM,"{'box': [1027, 954, 357, 449], 'confidence': 0.9999923706054688, 'keypoints': {'nose': (1111, 1224), 'right_eye': (1232, 1125), 'mouth_left': (1087, 1304), 'left_eye': (1084, 1114), 'mouth_right': (1196, 1310)}}"
510,45972.jpg,JM,"{'box': [409, 414, 961, 1268], 'confidence': 0.9999114274978638, 'keypoints': {'nose': (994, 1108), 'right_eye': (1137, 848), 'mouth_left': (838, 1393), 'left_eye': (730, 905), 'mouth_right': (1165, 1349)}}"
513,45975.jpg,JM,"{'box': [700, 924, 772, 958], 'confidence': 0.9997779726982117, 'keypoints': {'nose': (832, 1417), 'right_eye': (1092, 1200), 'mouth_left': (833, 1686), 'left_eye': (788, 1285), 'mouth_right': (1054, 1626)}}"
514,45976.jpg,JM,"{'box': [574, 324, 438, 561], 'confidence': 0.9987322688102722, 'keypoints': {'nose': (645, 617), 'right_eye': (813, 507), 'mouth_left': (609, 757), 'left_eye': (609, 502), 'mouth_right': (754, 767)}}"
515,45977.jpg,JM,"{'box': [845, 667, 453, 652], 'confidence': 0.9999991655349731, 'keypoints': {'nose': (1281, 1050), 'right_eye': (1278, 923), 'mouth_left': (1140, 1167), 'left_eye': (1125, 906), 'mouth_right': (1253, 1173)}}"
520,48568.jpg,JM,"{'box': [360, 820, 1164, 1394], 'confidence': 0.9984983205795288, 'keypoints': {'nose': (955, 1737), 'right_eye': (1142, 1326), 'mouth_left': (867, 1985), 'left_eye': (676, 1480), 'mouth_right': (1251, 1872)}}"
521,48570.jpg,JM,"{'box': [493, 454, 729, 964], 'confidence': 0.9999880790710449, 'keypoints': {'nose': (663, 1036), 'right_eye': (878, 797), 'mouth_left': (666, 1235), 'left_eye': (590, 836), 'mouth_right': (879, 1204)}}"
523,48590.jpg,JM,"{'box': [379, 697, 1135, 1353], 'confidence': 0.9969322681427002, 'keypoints': {'nose': (1020, 1550), 'right_eye': (1171, 1140), 'mouth_left': (939, 1850), 'left_eye': (704, 1308), 'mouth_right': (1305, 1704)}}"
524,48592.jpg,JM,"{'box': [466, 169, 661, 815], 'confidence': 0.9999302625656128, 'keypoints': {'nose': (764, 665), 'right_eye': (864, 465), 'mouth_left': (746, 824), 'left_eye': (621, 557), 'mouth_right': (945, 755)}}"
525,48811.jpg,JM,"{'box': [976, 234, 271, 363], 'confidence': 0.9999978542327881, 'keypoints': {'nose': (1038, 414), 'right_eye': (1124, 359), 'mouth_left': (1028, 512), 'left_eye': (1018, 386), 'mouth_right': (1109, 497)}}"
527,48820.jpg,JM,"{'box': [564, 457, 978, 1276], 'confidence': 0.9999493360519409, 'keypoints': {'nose': (1215, 1207), 'right_eye': (1291, 894), 'mouth_left': (975, 1423), 'left_eye': (882, 1033), 'mouth_right': (1404, 1276)}}"
530,48828.jpg,JM,"{'box': [517, 603, 948, 1326], 'confidence': 0.9995961785316467, 'keypoints': {'nose': (1095, 1293), 'right_eye': (1242, 1084), 'mouth_left': (955, 1622), 'left_eye': (826, 1114), 'mouth_right': (1235, 1600)}}"
533,53382.jpg,JM,"{'box': [1011, 730, 643, 780], 'confidence': 0.9980252981185913, 'keypoints': {'nose': (1199, 1206), 'right_eye': (1355, 985), 'mouth_left': (1204, 1340), 'left_eye': (1115, 1041), 'mouth_right': (1412, 1294)}}"
534,53383.jpg,JM,"{'box': [486, 191, 547, 813], 'confidence': 0.9999972581863403, 'keypoints': {'nose': (527, 628), 'right_eye': (737, 456), 'mouth_left': (612, 844), 'left_eye': (625, 444), 'mouth_right': (677, 835)}}"
536,53385.jpg,JM,"{'box': [548, 449, 790, 1020], 'confidence': 0.9996091723442078, 'keypoints': {'nose': (1308, 961), 'right_eye': (1269, 807), 'mouth_left': (1105, 1230), 'left_eye': (1018, 807), 'mouth_right': (1300, 1220)}}"
537,53386.jpg,JM,"{'box': [778, 326, 439, 555], 'confidence': 0.9999713897705078, 'keypoints': {'nose': (985, 637), 'right_eye': (1095, 527), 'mouth_left': (912, 759), 'left_eye': (890, 530), 'mouth_right': (1073, 756)}}"
538,53394.jpg,JM,"{'box': [612, 745, 827, 981], 'confidence': 0.9406100511550903, 'keypoints': {'nose': (738, 1286), 'right_eye': (1054, 1066), 'mouth_left': (764, 1504), 'left_eye': (728, 1044), 'mouth_right': (1008, 1538)}}"
539,53395.jpg,JM,"{'box': [331, 314, 352, 407], 'confidence': 0.9998025298118591, 'keypoints': {'nose': (439, 529), 'right_eye': (527, 435), 'mouth_left': (442, 648), 'left_eye': (390, 495), 'mouth_right': (545, 605)}}"
540,53396.jpg,JM,"{'box': [592, 1174, 463, 624], 'confidence': 0.9998811483383179, 'keypoints': {'nose': (813, 1522), 'right_eye': (951, 1437), 'mouth_left': (690, 1602), 'left_eye': (731, 1394), 'mouth_right': (910, 1647)}}"
546,56277.jpg,JM,"{'box': [405, 392, 978, 1182], 'confidence': 0.9999483823776245, 'keypoints': {'nose': (733, 1160), 'right_eye': (920, 824), 'mouth_left': (786, 1424), 'left_eye': (589, 1029), 'mouth_right': (1051, 1263)}}"
547,56278.jpg,JM,"{'box': [690, 514, 805, 1100], 'confidence': 0.9999924898147583, 'keypoints': {'nose': (881, 1176), 'right_eye': (1143, 953), 'mouth_left': (821, 1361), 'left_eye': (809, 932), 'mouth_right': (1079, 1380)}}"
548,56280.jpg,JM,"{'box': [637, 543, 549, 734], 'confidence': 0.9998955726623535, 'keypoints': {'nose': (942, 996), 'right_eye': (1062, 837), 'mouth_left': (832, 1112), 'left_eye': (817, 826), 'mouth_right': (1022, 1121)}}"
549,56284.jpg,JM,"{'box': [1017, 135, 607, 797], 'confidence': 0.9993411898612976, 'keypoints': {'nose': (1392, 655), 'right_eye': (1525, 513), 'mouth_left': (1224, 739), 'left_eye': (1262, 454), 'mouth_right': (1423, 781)}}"
550,57403.jpg,JM,"{'box': [779, 224, 363, 486], 'confidence': 0.9999637603759766, 'keypoints': {'nose': (992, 501), 'right_eye': (1051, 397), 'mouth_left': (938, 607), 'left_eye': (894, 433), 'mouth_right': (1061, 579)}}"
551,57404.jpg,JM,"{'box': [357, 585, 1181, 1263], 'confidence': 0.998779833316803, 'keypoints': {'nose': (1022, 1296), 'right_eye': (1056, 902), 'mouth_left': (1036, 1608), 'left_eye': (690, 1226), 'mouth_right': (1349, 1354)}}"
552,57405.jpg,JM,"{'box': [232, 412, 1337, 1692], 'confidence': 0.9998471736907959, 'keypoints': {'nose': (732, 1385), 'right_eye': (1037, 991), 'mouth_left': (671, 1739), 'left_eye': (492, 1094), 'mouth_right': (1072, 1662)}}"
553,57406.jpg,JM,"{'box': [826, 121, 644, 805], 'confidence': 0.9998894929885864, 'keypoints': {'nose': (1074, 597), 'right_eye': (1210, 409), 'mouth_left': (1030, 755), 'left_eye': (950, 445), 'mouth_right': (1236, 723)}}"
554,57407.jpg,JM,"{'box': [693, 528, 408, 506], 'confidence': 0.9999935626983643, 'keypoints': {'nose': (782, 818), 'right_eye': (888, 690), 'mouth_left': (802, 939), 'left_eye': (750, 764), 'mouth_right': (906, 891)}}"
555,57408.jpg,JM,"{'box': [487, 106, 484, 707], 'confidence': 0.9998164772987366, 'keypoints': {'nose': (566, 472), 'right_eye': (785, 436), 'mouth_left': (493, 597), 'left_eye': (624, 350), 'mouth_right': (609, 665)}}"
556,57409.jpg,JM,"{'box': [736, 168, 629, 857], 'confidence': 0.9999459981918335, 'keypoints': {'nose': (1133, 637), 'right_eye': (1238, 483), 'mouth_left': (987, 788), 'left_eye': (964, 471), 'mouth_right': (1207, 794)}}"
557,57410.jpg,JM,"{'box': [715, 313, 532, 752], 'confidence': 0.9998383522033691, 'keypoints': {'nose': (1072, 738), 'right_eye': (1171, 673), 'mouth_left': (909, 852), 'left_eye': (955, 585), 'mouth_right': (1065, 922)}}"
